               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.024961,             0.01693,          0.00050756,             0.28006,             0.30411,             0.30823,              0.2301,            0.015266,            0.021916,          0.00068648,            0.003664,            0.003664,            0.003664
                  98,            0.025358,            0.016479,          0.00047708,             0.33577,             0.30597,             0.33838,             0.25248,            0.014902,            0.021472,          0.00091317,            0.003598,            0.003598,            0.003598
                  99,            0.024078,            0.015648,          0.00043988,               0.422,             0.24627,             0.33887,             0.25821,            0.015205,            0.021931,          0.00064437,            0.003532,            0.003532,            0.003532
                 100,            0.023331,            0.015805,          0.00027162,             0.29435,             0.26866,             0.32537,             0.24412,            0.015305,            0.023836,           0.0010006,            0.003466,            0.003466,            0.003466
                 101,            0.024427,            0.015907,          0.00042949,             0.26132,             0.33582,             0.31718,             0.23942,            0.015322,            0.021989,           0.0011835,              0.0034,              0.0034,              0.0034
                 102,            0.023576,            0.015342,          0.00035761,             0.31933,             0.28358,             0.33658,             0.25062,             0.01519,            0.022647,           0.0011211,            0.003334,            0.003334,            0.003334
                 103,            0.022716,            0.015375,          0.00034434,             0.33291,             0.32713,             0.35518,             0.26665,            0.014683,            0.022614,          0.00079894,            0.003268,            0.003268,            0.003268
                 104,            0.023418,            0.015186,          0.00033215,             0.34038,             0.27055,             0.29364,             0.22904,            0.014415,            0.022528,           0.0013449,            0.003202,            0.003202,            0.003202
                 105,            0.023424,            0.015459,           0.0002851,             0.29441,             0.30597,             0.29553,             0.22692,            0.014874,            0.023585,          0.00076389,            0.003136,            0.003136,            0.003136
                 106,             0.02285,            0.015576,          0.00039321,             0.26063,             0.44328,             0.34193,             0.26198,            0.015613,            0.022659,          0.00054415,             0.00307,             0.00307,             0.00307
                 107,            0.022896,            0.014951,           0.0003866,              0.3404,             0.24627,             0.30127,             0.22752,            0.015259,            0.023296,          0.00094901,            0.003004,            0.003004,            0.003004
                 108,            0.022535,             0.01537,          0.00031555,             0.22189,              0.4131,             0.27775,              0.2111,            0.015557,            0.024077,           0.0015419,            0.002938,            0.002938,            0.002938
                 109,            0.022405,            0.015579,          0.00027977,             0.24686,             0.40489,             0.25591,             0.19277,             0.01568,            0.023529,           0.0021008,            0.002872,            0.002872,            0.002872
                 110,            0.022158,            0.015111,          0.00034397,             0.23734,             0.46567,             0.31577,             0.24196,            0.015439,             0.02361,            0.001035,            0.002806,            0.002806,            0.002806
                 111,            0.021686,            0.014583,          0.00035251,             0.26634,             0.54328,             0.30332,             0.23269,            0.015044,            0.024478,          0.00077982,             0.00274,             0.00274,             0.00274
                 112,            0.021487,            0.015695,          0.00041555,             0.29837,             0.29816,             0.32026,             0.24702,            0.015182,            0.023521,          0.00089196,            0.002674,            0.002674,            0.002674
                 113,            0.022017,            0.014985,          0.00036846,              0.2049,             0.45075,             0.26037,             0.20112,            0.015357,            0.024113,           0.0012199,            0.002608,            0.002608,            0.002608
                 114,            0.022068,            0.015615,           0.0003467,             0.19477,               0.442,             0.24523,             0.18448,            0.015429,            0.024275,             0.00118,            0.002542,            0.002542,            0.002542
                 115,            0.021863,            0.015027,          0.00031681,             0.26311,             0.34328,             0.32923,             0.24441,            0.014683,            0.024288,          0.00074577,            0.002476,            0.002476,            0.002476
                 116,             0.02176,            0.014185,          0.00023207,             0.25285,             0.30597,              0.3102,              0.2429,            0.015298,            0.023969,          0.00090269,             0.00241,             0.00241,             0.00241
                 117,            0.021453,            0.015263,           0.0003509,             0.34306,             0.29851,             0.34976,             0.27416,             0.01539,            0.023331,          0.00066822,            0.002344,            0.002344,            0.002344
                 118,            0.020897,            0.014563,          0.00028575,             0.34848,             0.27464,             0.31761,             0.24658,            0.014956,            0.024268,          0.00061795,            0.002278,            0.002278,            0.002278
                 119,            0.021019,            0.014872,          0.00031515,             0.28135,             0.32652,             0.30463,             0.23224,            0.014855,            0.024728,          0.00095277,            0.002212,            0.002212,            0.002212
                 120,            0.021064,            0.014234,          0.00042149,             0.24697,             0.33582,             0.30677,             0.24191,            0.014575,            0.024329,          0.00057657,            0.002146,            0.002146,            0.002146
                 121,            0.021036,            0.014405,          0.00030366,             0.26177,             0.44328,             0.31996,             0.25488,             0.01441,            0.023144,          0.00087348,             0.00208,             0.00208,             0.00208
                 122,            0.020644,            0.014316,          0.00026892,             0.29992,             0.28358,             0.31646,             0.25328,            0.014162,            0.024162,          0.00051155,            0.002014,            0.002014,            0.002014
                 123,            0.020825,            0.014331,          0.00020282,             0.31946,             0.30374,             0.33826,             0.26423,            0.014401,            0.024613,           0.0007762,            0.001948,            0.001948,            0.001948
                 124,            0.020397,            0.014281,          0.00023526,              0.3165,             0.31343,             0.34378,             0.26267,            0.014586,            0.024299,           0.0017815,            0.001882,            0.001882,            0.001882
                 125,            0.020632,            0.014497,          0.00019701,             0.31128,             0.29851,              0.3244,             0.24815,            0.014922,            0.024667,           0.0015086,            0.001816,            0.001816,            0.001816
                 126,             0.02024,            0.014626,          0.00022271,             0.31104,             0.29851,             0.33255,             0.26661,            0.014307,            0.025018,          0.00081578,             0.00175,             0.00175,             0.00175
                 127,            0.020021,            0.013733,          0.00020305,              0.3298,             0.25373,             0.30758,             0.23782,            0.014715,             0.02528,           0.0010505,            0.001684,            0.001684,            0.001684
                 128,            0.020043,            0.014049,           0.0001879,             0.24498,             0.47313,             0.31033,             0.23667,            0.014313,            0.024513,          0.00070697,            0.001618,            0.001618,            0.001618
                 129,            0.020056,            0.014189,          0.00021536,             0.22691,             0.37313,             0.29257,             0.23021,            0.013883,            0.024507,          0.00085862,            0.001552,            0.001552,            0.001552
                 130,            0.020393,            0.014289,          0.00027718,             0.25522,             0.32836,             0.29917,             0.23602,            0.014035,            0.024896,           0.0010606,            0.001486,            0.001486,            0.001486
                 131,            0.019852,            0.014474,          0.00036599,             0.24227,              0.4806,             0.31597,             0.24864,            0.014407,            0.024696,           0.0012982,             0.00142,             0.00142,             0.00142
                 132,            0.019767,            0.014556,          0.00016502,             0.23733,             0.48528,             0.33365,             0.26407,              0.0138,            0.025214,           0.0010979,            0.001354,            0.001354,            0.001354
                 133,            0.019329,            0.013074,          0.00018013,             0.26786,             0.47313,             0.33165,             0.25028,            0.014052,            0.025299,          0.00078033,            0.001288,            0.001288,            0.001288
                 134,            0.019484,            0.014222,           0.0002824,             0.29979,             0.33582,             0.32597,             0.24062,            0.014066,            0.025586,           0.0010034,            0.001222,            0.001222,            0.001222
                 135,            0.019235,            0.013258,          0.00017268,             0.28444,             0.33582,             0.32551,             0.25019,            0.014048,            0.025753,          0.00090711,            0.001156,            0.001156,            0.001156
                 136,            0.019337,            0.013483,          0.00014157,             0.29001,              0.2989,             0.33238,             0.26179,             0.01426,            0.025725,          0.00088327,             0.00109,             0.00109,             0.00109
                 137,            0.018728,            0.013322,           0.0001323,             0.34076,             0.31942,               0.365,             0.28683,            0.014191,            0.025362,          0.00069804,            0.001024,            0.001024,            0.001024
